Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Product_Base_Margin
Ord_1,Prod_1,SHP_1,Cust_1,26154,0.04,6,0.08
Ord_10,Prod_3,SHP_13,Cust_10,8061,0.02,15,0.37
Ord_100,Prod_8,SHP_138,Cust_58,12112,0.01,3,0.44
Ord_1000,Prod_6,SHP_1384,Cust_373,33471,0.01,25,0.38
Ord_1001,Prod_5,SHP_1385,Cust_374,198126,0.07,49,0.76
Ord_1002,Prod_15,SHP_1386,Cust_375,175646,0.01,15,0.69
Ord_1003,Prod_11,SHP_1388,Cust_376,232035,0,6,0.66
Ord_1003,Prod_9,SHP_1387,Cust_376,4904,0.02,8,0.38
Ord_1004,Prod_5,SHP_1390,Cust_365,19952,0.08,28,0.42
Ord_1004,Prod_3,SHP_1389,Cust_365,13954,0.01,26,0.37
Ord_1004,Prod_7,SHP_1391,Cust_365,8566,0.04,39,0.52
Ord_1005,Prod_13,SHP_1392,Cust_377,3548,0.09,14,0.59
Ord_1005,Prod_16,SHP_1392,Cust_377,15,0.05,1,0.58
Ord_1006,Prod_2,SHP_1393,Cust_378,175841,0.06,18,0.57
Ord_1007,Prod_4,SHP_1394,Cust_379,2766818,0.03,47,0.55
Ord_1008,Prod_5,SHP_1395,Cust_380,68967,0.07,38,0.47
Ord_1009,Prod_17,SHP_1396,Cust_366,221979,0.01,30,0.37
Ord_1009,Prod_6,SHP_1397,Cust_366,23736,0.07,25,0.04
Ord_101,Prod_4,SHP_139,Cust_73,13648025,0.07,29,0.83
Ord_101,Prod_1,SHP_139,Cust_73,3002,0,8,0.57
Ord_1010,Prod_11,SHP_1399,Cust_366,40518,0.01,35,0.63
Ord_1010,Prod_5,SHP_1398,Cust_366,19523,0.08,35,0.41
Ord_1011,Prod_3,SHP_1400,Cust_381,346597,0.08,4,0.38
Ord_1011,Prod_8,SHP_1401,Cust_381,130788,0.06,13,0.46
Ord_1012,Prod_3,SHP_1402,Cust_382,10451,0.04,13,0.35
Ord_1013,Prod_4,SHP_1403,Cust_382,10647865,0.01,12,0.58
Ord_1014,Prod_6,SHP_1404,Cust_368,18179,0.06,33,0.36
Ord_1014,Prod_5,SHP_1404,Cust_368,13109,0.01,10,0.55
Ord_1015,Prod_9,SHP_1405,Cust_370,12406,0.09,17,0.38
Ord_1016,Prod_8,SHP_1406,Cust_383,13805,0.09,19,0.69
Ord_1017,Prod_5,SHP_1407,Cust_384,43344,0.01,29,0.46
Ord_1018,Prod_3,SHP_1408,Cust_362,5559,0.03,8,0.36
Ord_1019,Prod_4,SHP_1409,Cust_385,481049,0.09,16,0.55
Ord_1019,Prod_3,SHP_1409,Cust_385,11236,0.08,33,0.04
Ord_102,Prod_6,SHP_140,Cust_43,12821,0.05,19,0.37
Ord_1020,Prod_4,SHP_4314,Cust_1143,2570944,0.03,25,0.58
Ord_1020,Prod_8,SHP_4313,Cust_1143,458473,0.07,27,0.48
Ord_1020,Prod_5,SHP_4314,Cust_1143,403972,0.02,44,0.67
Ord_1020,Prod_3,SHP_1410,Cust_386,5628,0.02,36,0.36
Ord_1021,Prod_15,SHP_1411,Cust_387,554499,0.04,43,0.78
Ord_1022,Prod_4,SHP_1412,Cust_363,20116355,0.01,12,0.59
Ord_1023,Prod_6,SHP_1413,Cust_388,26059,0.09,43,0.37
Ord_1024,Prod_4,SHP_1415,Cust_373,368373,0.09,35,0.59
Ord_1024,Prod_8,SHP_1415,Cust_373,118453,0.05,31,0.67
Ord_1024,Prod_3,SHP_1414,Cust_373,7527,0.06,13,0.37
